well_no,date,Na,K,Mg,Ca,Mn,Fe,HCO3,NO3,NH4,PO4,SO4,Cl,Lizenz
10409087,2018-06-20,5.9,1.1,37,86,0.12,0.02,334,23.0204,0.0644,0.03077,30,18,
110250126,2018-08-09,24,2.7,20,180,0.024,0.24,458,1.3281,0.18032,0.03077,92,91,
110220894,2018-07-16,11,3.8,6.5,98,0.039,0.04,184,1.59372,0.0644,0.03077,71,46,
21000086,2018-05-15,30,1.5,2.7,95,0.35,3.8,194,1.3281,0.644,0.03077,76,50,
100702119,2018-10-24,18.7,1.2,10.3,130,0.02,0.04,272.1,28.00002,0.09985,0.04015,85,41,
98120402,2018-09-06,13,2.4,27,140,0.11,4.4,539,1.3281,6.1824,0.04616,7.9,19,
219480618,2018-05-17,44,4.6,18.3,146,0.005,0.01,162,65,0.09985,0.06154,140,149,
100706940,2018-04-12,26,1,18.8,216,0.48,8.41,456.9,1.99999,0.29954,0.79282,240,33,
94120341,2018-04-26,11,2.1,5.7,160,0.0098,0.02,340,35.416,0.09016,0.03077,57,32,
94140273,2018-04-25,12,2.5,7.6,23,0.12,0.028,59,1.37237,0.0644,0.03077,33,18,
73561915,2018-07-31,28,2.7,20,150,0.002,0.02,363,34.5306,0.0644,0.03077,100,53,
100750059,2018-04-16,75.9,13.5,38.5,110,0.01,0.01,264.7,18,0.09985,0.20071,91,210,
76811311,2018-06-25,21,3.6,5.4,23,0.002,0.02,79,12.8383,0.0644,0.03077,21,26,
110060106,2018-08-27,16,14,7.1,42,0.032,0.02,39,66.405,0.0644,0.06462,35,38,
26531124,2018-05-24,12,29,6.3,120,0.068,0.04,288,48.697,0.0644,0.03077,52,20,
110200214,2018-07-10,29,8,8.9,37,0.094,0.31,29,31.8744,0.30912,0.03077,64,56,
26540216,2018-05-15,82,9.2,2.1,120,0.17,1.7,347,1.3281,0.56672,0.03385,8.5,120,
129660188,2018-06-27,12,0.83,19,120,0.002,0.036,345,30.1036,0.0644,0.03077,17,29,
26504595,2018-10-23,6.4,1.4,26.2,103,0.01,0.01,316.6,33.00001,0.09985,0.04015,58,20,
10203199,2018-05-23,24,1.2,11,83,0.002,0.02,203,44.27,0.0644,0.08308,50,41,
26500012,2018-01-25,5.2,1.2,7,130,0.007,0.02,271,14.6091,0.0644,0.03077,10,7.1,
80303328,2018-06-29,22,12,14,130,1,0.041,356,5.7551,0.29624,0.03077,65,37,
21150023,2018-05-24,11,0.87,3.1,100,0.38,5.6,215,1.3281,0.27048,0.03077,44,33,
59130441,2018-07-25,26,76,20,170,0.002,0.02,513,41.1711,0.0644,0.28308,130,37,
279481317,2018-08-27,51,1.4,25.2,191,0.005,0.04,327,72.99999,0.09985,0.09231,127,161,
10301574,2018-08-27,22,1.4,11,65,0.0021,0.039,100,29.2182,0.0644,0.03077,93,36,
106530033,2018-05-28,16,2.6,11,150,0.0084,0.18,293,88.54,0.0644,0.03077,68,28,
100700536,2018-04-26,16.3,6.4,6.1,34.7,1.44,33.1,65.3,4.99999,0.54915,1.91685,66,53,
106530021,2018-05-28,29,7.7,9.1,150,0.011,0.42,322,123.956,0.0644,0.03077,46,36,
70134212,2018-09-13,77,9.9,29,98,0.002,0.091,325,27.4474,0.0644,0.06769,99,100,
106502062,2018-04-18,8.7,1.1,7.2,36.3,0.05,0.6,105.5,1.00002,0.09985,0.04015,20,13,
91112000,2018-09-06,18,2.8,18,130,0.16,1.3,367,1.3281,1.05616,0.03077,92,29,
100761161,2018-03-22,13.2,1.6,14,128,0.03,0.03,380,16.00002,0.09985,0.04015,59,18,
10410053,2018-10-25,4,0.55,44,80,0.002,0.02,380,28.3328,0.0644,0.03077,23,9,
73311716,2018-07-26,23,6.3,21,130,0.002,0.02,352,26.1193,0.0644,0.03077,100,46,
73512618,2018-08-08,45,7.3,23,170,0.002,0.035,383,53.124,0.0644,0.03077,150,59,
110200354,2018-07-02,10,3,8.3,130,1.4,12,346,1.3281,0.8372,0.03077,52,20,
60220855,2018-05-16,320,21,16,38,0.0034,0.26,677,1.3281,0.87584,0.03385,93,150,
16003998,2018-01-30,8,1.1,1.8,180,0.002,0.02,371,20.3642,0.0644,0.15077,59,21,
110200445,2018-06-21,27,12,29,130,0.29,0.037,294,1.3281,0.0644,0.03077,120,86,
91140602,2018-07-16,15,2,22,190,0.27,0.41,523,4.02857,0.0644,0.03077,40,56,
26540514,2018-05-23,7.3,9.3,2.6,85,0.015,0.02,128,88.54,0.0644,0.03077,27,13,
113109477,2018-10-16,16,13,7.5,130,0.059,0.51,281,1.3281,0.0644,0.03077,110,31,
10202201,2018-03-15,40,3.7,11,36,0.016,0.33,77,21.2496,0.0644,0.03077,84,36,
26541117,2018-05-17,15,10,2.7,75,0.17,2.8,116,43.8273,0.0644,0.03077,62,27,
70200518,2018-07-02,20,2.4,9.9,59,0.002,0.02,170,6.6405,0.0644,0.03077,27,29,
100706680,2018-04-12,61.5,7.8,16.3,162,0.15,0.31,354.4,16.99999,0.09985,0.04015,135,119,
10201117,2018-03-15,22,3,21,150,0.002,0.02,265,61.978,0.0644,0.04616,130,66,
110151094,2018-09-26,39,1.1,15,130,0.14,0.071,363,1.3281,0.69552,0.03077,29,76,
110060179,2018-09-03,81,12,9.1,120,0.0027,0.02,287,41.1711,0.0644,0.03077,72,96,
10410077,2018-07-03,220,2.9,22,65,1.5,0.02,811,1.3281,0.23184,0.03077,11,12,
110200251,2018-07-03,8.6,6.7,5.4,53,0.021,0.036,26,61.978,0.0644,0.03077,70,10,
99780082,2018-08-01,18,2.1,9.3,59,0.002,0.025,133,11.0675,0.0644,0.03077,54,30,
26541154,2018-05-17,15,11,4.7,97,0.82,0.066,225,23.0204,0.0644,0.03077,55,19,
40304024,2018-06-20,16,3.2,19,70,0.002,0.02,48,97.394,0.0644,0.36924,99,33,
100706617,2018-11-21,19.1,0.9,9.9,135,0.74,2.8,319.6,1.00002,0.17971,0.22077,101,41,
100140920,2018-06-26,18,2,10,220,0.24,3.1,300,1.3281,0.20608,0.03077,110,35,
70156116,2018-10-19,51,6.8,34,120,0.45,7.4,269,1.81507,0.20608,0.03077,250,49,
219971614,2018-08-07,21,0.83,23.5,173,0.005,0.01,346,77.00001,0.09985,0.06154,111,85,
106506043,2018-04-04,7.9,1,29.2,65.1,0.01,0.01,244,10.99999,0.09985,0.04015,79,10,
100140750,2018-10-18,100,3.2,9.7,160,1.1,18,274,1.3281,0.29624,0.03077,88,290,
70157110,2018-10-11,57,5.4,22,130,0.002,0.02,361,23.4631,0.0644,0.03077,120,83,
91153300,2018-07-31,13,14,4.6,190,0.076,0.02,464,6.1978,0.0644,9.93871,40,26,
26490997,2018-03-14,23.2,4,5.5,116,0.267,1.63,231,27.6,0.13979,0.03009,65.8,52.5,
94190173,2018-05-17,13,2.4,16,160,0.002,0.02,292,37.6295,0.0644,0.04616,180,26,
59130726,2018-08-06,23,5.4,19,140,3.7,1.3,422,1.3281,1.14632,0.03077,76,28,
59620213,2018-06-04,5.3,0.95,8.6,61,0.002,0.02,158,15.0518,0.0644,0.03077,40,6.6,
80303237,2018-07-09,11,5.5,9.3,86,0.0044,0.04,183,53.124,0.0644,0.08616,62,16,
10201415,2018-05-07,21,1.2,17.5,129,0.005,0.04,230,92.00001,0.09985,0.12308,97,50,
59621280,2018-10-16,55,2.4,19,150,0.02,0.02,242,15.0518,0.0644,0.03077,150,130,
110240133,2018-05-30,8.6,1.5,1.6,68,0.017,0.029,173,10.6248,0.27048,0.11385,17,7.5,
26503153,2018-03-15,7.5,1.5,38.5,132,0.01,0.01,368.4,22.00002,0.09985,0.04015,163,16,
20103074,2018-12-17,36,97,11,83,0.66,0.1,223,27.45,0.5,0.71,130,66,
73746710,2018-06-20,51,6.9,21,100,0.002,0.02,316,23.0204,0.0644,0.03077,68,78,
80303183,2018-11-06,21,3.4,12,90,0.002,0.02,63,106.248,0.0644,0.09846,110,48,
110050010,2018-07-11,34,9.6,11,69,0.024,3.4,64,1.3281,0.1932,0.04923,130,50,
59130570,2018-07-23,100,3.8,28,120,0.009,1.5,640,1.3281,3.22,0.03077,47,44,
106502463,2018-04-25,7.3,0.8,23,51.3,0.01,0.01,171.4,22.00002,0.09985,0.04015,62,16,
106506031,2018-10-18,11.5,0.9,28.7,63.5,0.01,0.01,277.6,13.00002,0.09985,0.04015,52,24,
110070057,2018-08-06,13,16,6,71,0.0021,0.051,90,119.529,0.0644,1.38465,43,19,
76809407,2018-02-26,21,1.1,10,47,0.0049,0.048,97,7.9686,0.0644,0.03077,8,82,
